From_Device_ID,To_Device_ID,Event_Type,Message,Time_Stamp
,sub_17,EVENT_MSG_RECD,msg_1677,2024-01-08 18:20:04.661851
,sub_17,EVENT_MSG_RECD,msg_1678,2024-01-08 18:20:04.743687
,sub_17,EVENT_MSG_RECD,msg_1679,2024-01-08 18:20:04.812785
,sub_17,EVENT_MSG_RECD,msg_1680,2024-01-08 18:20:04.813043
,sub_17,EVENT_MSG_RECD,msg_1681,2024-01-08 18:20:04.895850
,sub_17,EVENT_MSG_RECD,msg_1682,2024-01-08 18:20:04.965562
,sub_17,EVENT_MSG_RECD,msg_1683,2024-01-08 18:20:04.965721
,sub_17,EVENT_MSG_RECD,msg_1684,2024-01-08 18:20:05.050837
,sub_17,EVENT_MSG_RECD,msg_1685,2024-01-08 18:20:05.118476
,sub_17,EVENT_MSG_RECD,msg_1686,2024-01-08 18:20:05.184728
,sub_17,EVENT_MSG_RECD,msg_1687,2024-01-08 18:20:05.184842
,sub_17,EVENT_MSG_RECD,msg_1688,2024-01-08 18:20:05.265221
,sub_17,EVENT_MSG_RECD,msg_1689,2024-01-08 18:20:05.334997
,sub_17,EVENT_MSG_RECD,msg_1690,2024-01-08 18:20:05.335624
,sub_17,EVENT_MSG_RECD,msg_1691,2024-01-08 18:20:05.419417
,sub_17,EVENT_MSG_RECD,msg_1692,2024-01-08 18:20:05.485720
,sub_17,EVENT_MSG_RECD,msg_1693,2024-01-08 18:20:05.485960
,sub_17,EVENT_MSG_RECD,msg_1694,2024-01-08 18:20:05.571229
,sub_17,EVENT_MSG_RECD,msg_1695,2024-01-08 18:20:05.638592
,sub_17,EVENT_MSG_RECD,msg_1696,2024-01-08 18:20:05.638729
,sub_17,EVENT_MSG_RECD,msg_1697,2024-01-08 18:20:05.718848
,sub_17,EVENT_MSG_RECD,msg_1698,2024-01-08 18:20:05.788418
,sub_17,EVENT_MSG_RECD,msg_1699,2024-01-08 18:20:05.788570
